EmbeddingModel,Classifier,Corpora,CvFold,Accuracy,F1scoreMacro,PrecisionMacro,RecallMacro,Support
FastText (Skip-gram),LogisticRegression,Wzorcowy,1,0.4217569074464131,0.2851316279504748,0.33916374578868114,0.3037728671251398,8071.0
FastText (Skip-gram),LogisticRegression,Pełny,1,0.42857142857142855,0.2921657426641608,0.35557839917077616,0.30987939212609095,8071.0
FastText (Skip-gram),KNeighborsClassifier,Wzorcowy,1,0.5393383719489531,0.47996900768965056,0.5057757605932658,0.4683938305134539,8071.0
FastText (Skip-gram),KNeighborsClassifier,Pełny,1,0.5343823565853054,0.4767875383566078,0.49763879540256,0.4665486030679529,8071.0
FastText (Skip-gram),DecisionTreeClassifier,Wzorcowy,1,0.452236401932846,0.38755116998735084,0.38769910533619384,0.3874758857683043,8071.0
FastText (Skip-gram),DecisionTreeClassifier,Pełny,1,0.44244827158964195,0.3800762230781003,0.38007936897448746,0.38012845176811977,8071.0
FastText (Skip-gram),LogisticRegression,Wzorcowy,2,0.41419898401685046,0.2732519029203231,0.3316193135442313,0.295864871638737,8071.0
FastText (Skip-gram),LogisticRegression,Pełny,2,0.42596952050551357,0.283254542490014,0.35320805414320794,0.3047813661317753,8071.0
FastText (Skip-gram),KNeighborsClassifier,Wzorcowy,2,0.5280634369966547,0.4731587712270224,0.5012527924795455,0.4605096560499818,8071.0
FastText (Skip-gram),KNeighborsClassifier,Pełny,2,0.5279395366125635,0.4683047488346992,0.4951448239426153,0.4571011804028298,8071.0
FastText (Skip-gram),DecisionTreeClassifier,Wzorcowy,2,0.4485193904101103,0.3888934458328375,0.38952765872982126,0.3887709979759821,8071.0
FastText (Skip-gram),DecisionTreeClassifier,Pełny,2,0.45149299962829886,0.3916150269797279,0.39172614851996307,0.39158177988912896,8071.0
FastText (Skip-gram),LogisticRegression,Wzorcowy,3,0.4163052905464007,0.2782371313681277,0.3298187640227929,0.2980195633495698,8071.0
FastText (Skip-gram),LogisticRegression,Pełny,3,0.4279519266509726,0.2913354735087359,0.35709288199476186,0.3087130225231715,8071.0
FastText (Skip-gram),KNeighborsClassifier,Wzorcowy,3,0.5327716515921199,0.4791790814613703,0.5119083989954908,0.4654330550586399,8071.0
FastText (Skip-gram),KNeighborsClassifier,Pełny,3,0.541940280014868,0.4823516531387371,0.5123495808926921,0.47025862827819903,8071.0
FastText (Skip-gram),DecisionTreeClassifier,Wzorcowy,3,0.44740428695328954,0.3889169639327789,0.38959811148813545,0.3883385125216834,8071.0
FastText (Skip-gram),DecisionTreeClassifier,Pełny,3,0.44864329079420145,0.38821353429892363,0.38855022027626474,0.38804250898917475,8071.0
FastText (Skip-gram),LogisticRegression,Wzorcowy,4,0.41623296158612144,0.2792827202051023,0.3272698107364064,0.2985999298761384,8070.0
FastText (Skip-gram),LogisticRegression,Pełny,4,0.42540272614622054,0.2881137784502897,0.3421005182169517,0.3065516009273343,8070.0
FastText (Skip-gram),KNeighborsClassifier,Wzorcowy,4,0.5346964064436184,0.4798686742058593,0.5089067696736816,0.4667295002871518,8070.0
FastText (Skip-gram),KNeighborsClassifier,Pełny,4,0.5342007434944238,0.4783302601880133,0.5040016155045807,0.467030709913237,8070.0
FastText (Skip-gram),DecisionTreeClassifier,Wzorcowy,4,0.4530359355638166,0.3932067671624068,0.3937309089964483,0.39286455365345735,8070.0
FastText (Skip-gram),DecisionTreeClassifier,Pełny,4,0.4382899628252788,0.38036325879692096,0.38070386709586584,0.3802981400473053,8070.0
FastText (Skip-gram),LogisticRegression,Wzorcowy,5,0.4256505576208178,0.28639995708423727,0.34343820347181514,0.3055839715625704,8070.0
FastText (Skip-gram),LogisticRegression,Pełny,5,0.4292441140024783,0.2899368677302738,0.43478447249739305,0.3084054786526084,8070.0
FastText (Skip-gram),KNeighborsClassifier,Wzorcowy,5,0.5293680297397769,0.46516550296964043,0.49460561791001983,0.45392988995334066,8070.0
FastText (Skip-gram),KNeighborsClassifier,Pełny,5,0.5359355638166047,0.4709574516104107,0.492407982477382,0.46186497879741223,8070.0
FastText (Skip-gram),DecisionTreeClassifier,Wzorcowy,5,0.44535315985130114,0.3843011163536421,0.3851690618838726,0.3836167689188421,8070.0
