EmbeddingModel,Classifier,Corpora,CvFold,Accuracy,F1scoreMacro,PrecisionMacro,RecallMacro,Support
HerBERT,LogisticRegression,Wzorcowy,1,0.6213604262173212,0.5524140835319017,0.5899861273646555,0.5393661680629827,8071.0
Word2Vec,LogisticRegression,Wzorcowy,1,0.608846487424111,0.553963382617469,0.6127354365370401,0.5358073186146528,8071.0
HerBERT,KNeighborsClassifier,Wzorcowy,1,0.6001734605377277,0.549126565886306,0.5693682412315517,0.5391072060610742,8071.0
Word2Vec,KNeighborsClassifier,Wzorcowy,1,0.5871639202081527,0.5494560601863469,0.6160864716008084,0.524282442055701,8071.0
HerBERT,DecisionTreeClassifier,Wzorcowy,1,0.48358319910791725,0.4202668324389946,0.4203887749255432,0.4205046415626306,8071.0
Word2Vec,DecisionTreeClassifier,Wzorcowy,1,0.515301697435262,0.4539511464801364,0.4623108100468889,0.4521622452850724,8071.0
HerBERT,LogisticRegression,Wzorcowy,2,0.6160327097014001,0.5373063470034968,0.5870220312482316,0.525263081425908,8071.0
Word2Vec,LogisticRegression,Wzorcowy,2,0.6104571924172965,0.5501689682280997,0.6074683778296367,0.5342764573921863,8071.0
HerBERT,KNeighborsClassifier,Wzorcowy,2,0.6141742039400322,0.5645376084654082,0.584471454422692,0.5541923024293324,8071.0
Word2Vec,KNeighborsClassifier,Wzorcowy,2,0.5858010159831496,0.5430596424472378,0.600596173015489,0.52141763705113,8071.0
HerBERT,DecisionTreeClassifier,Wzorcowy,2,0.4972122413579482,0.4323886116704983,0.4333627676036777,0.4318071825392591,8071.0
Word2Vec,DecisionTreeClassifier,Wzorcowy,2,0.5232313220170982,0.4627728147782511,0.47330593193877296,0.46021113423504273,8071.0
HerBERT,LogisticRegression,Wzorcowy,3,0.6142981043241234,0.5383140630728929,0.594883945882253,0.5233605191915279,8071.0
Word2Vec,LogisticRegression,Wzorcowy,3,0.6216082269855037,0.5694504453587944,0.6200410512474633,0.5531631690791956,8071.0
HerBERT,KNeighborsClassifier,Wzorcowy,3,0.6012885639945483,0.5549698181996511,0.5798332625915449,0.5429456204710182,8071.0
Word2Vec,KNeighborsClassifier,Wzorcowy,3,0.5846859125263288,0.5491139242490787,0.6179377129197731,0.5234960061625105,8071.0
HerBERT,DecisionTreeClassifier,Wzorcowy,3,0.48940651716020317,0.43098981596311803,0.4307338396721561,0.4313747094173392,8071.0
Word2Vec,DecisionTreeClassifier,Wzorcowy,3,0.5143104943625325,0.45367280058479104,0.46273986353752594,0.45120534712407956,8071.0
HerBERT,LogisticRegression,Wzorcowy,4,0.6090458488228006,0.5338892944604944,0.5768574624682523,0.5223441599569619,8070.0
Word2Vec,LogisticRegression,Wzorcowy,4,0.6075588599752169,0.5504204866313714,0.6144736177538832,0.5344599576893262,8070.0
HerBERT,KNeighborsClassifier,Wzorcowy,4,0.6037174721189591,0.5520368853830449,0.5745338808631414,0.5408414145031452,8070.0
Word2Vec,KNeighborsClassifier,Wzorcowy,4,0.5881040892193309,0.5525639326355057,0.6197532365884456,0.5260509487884759,8070.0
HerBERT,DecisionTreeClassifier,Wzorcowy,4,0.48748451053283764,0.4312433935332611,0.4321721784229451,0.43099985355319737,8070.0
Word2Vec,DecisionTreeClassifier,Wzorcowy,4,0.5136307311028501,0.45446324516519376,0.4630132514926901,0.45411639721886005,8070.0
HerBERT,LogisticRegression,Wzorcowy,5,0.6179677819083024,0.5379827458347696,0.5826635285626693,0.5259097249626158,8070.0
Word2Vec,LogisticRegression,Wzorcowy,5,0.6084262701363073,0.5524941703312526,0.6063816426625441,0.5367337453262138,8070.0
HerBERT,KNeighborsClassifier,Wzorcowy,5,0.598636926889715,0.5453179639649767,0.5645882839002915,0.5358866619133619,8070.0
Word2Vec,KNeighborsClassifier,Wzorcowy,5,0.5933085501858736,0.55104765583641,0.6157006551715886,0.5267959075976402,8070.0
HerBERT,DecisionTreeClassifier,Wzorcowy,5,0.49516728624535317,0.433508500164595,0.4357206554903224,0.43188748667690596,8070.0
Word2Vec,DecisionTreeClassifier,Wzorcowy,5,0.5242874845105329,0.4664525625322761,0.4753513364149368,0.4644784981042345,8070.0
